,CAD,BRL,MXN,GBP,CHF,DKK,NOK,SEK,EUR,AUD,NZD,JPY,SGD,KRW,TWD,THB,MYR,INR
1990-01-02,1.1605,,,1.611,1.5768,6.635,6.6375,6.23,,0.7855,0.593,146.25,1.903,,,25.71,2.707,16.96
1990-01-03,1.1613,,,1.61,1.5785,6.6975,6.6575,6.27,,0.7818,0.594,145.7,1.9085,683.5,,,2.7085,16.99
1990-01-04,1.1614,,,1.6293,1.542,6.5525,6.57,6.176,,0.7867,0.5973,143.37,1.9,684.2,26.11,25.8,2.705,16.94
1990-01-05,1.16,,,1.637,1.537,6.557,6.55,6.172,,0.786,0.597,143.82,1.909,683.7,26.025,25.71,2.7075,16.93
1990-01-08,1.1601,,,1.653,1.5238,6.486,6.507,6.14,,0.7849,0.5985,144.1,1.896,683.6,25.915,25.74,2.703,16.93
1990-01-09,1.1614,,,1.6537,1.527,6.535,6.522,6.151,,0.7866,0.604,145.2,1.9005,684,25.99,25.71,2.7055,16.93
1990-01-10,1.1589,,,1.662,1.5125,6.53,6.51,6.142,,0.7886,0.607,145.25,1.8955,684.7,,25.74,2.7035,16.92
1990-01-11,1.157,,,1.6568,1.516,6.534,6.516,6.148,,0.791,0.6084,145.4,1.8955,685.2,26.0775,25.74,2.7005,16.93
1990-01-12,1.1571,,,1.6695,1.4945,6.5175,6.492,6.126,,0.7939,0.6115,145.4,1.8935,685.6,26.05,25.74,2.699,16.94
1990-01-15,,,,,,,,,,,,,,,,,,
1990-01-16,1.165,,,1.657,1.5165,6.575,6.532,6.168,,0.7894,0.609,145.48,1.8935,685.7,,25.75,2.7055,16.97
1990-01-17,1.164,,,1.6495,1.5067,6.5525,6.527,6.164,,0.7917,0.612,145.49,1.889,686.6,26.0825,25.75,2.703,16.97
1990-01-18,1.1713,,,1.6445,1.5185,6.617,6.574,6.2025,,0.7941,0.614,146.12,1.89,686.5,26.125,25.75,2.7045,16.98
1990-01-19,1.179,,,1.6465,1.5145,6.625,6.585,6.2175,,0.7935,0.6106,145.65,1.877,687.2,26.09,25.79,2.706,16.97
1990-01-22,1.183,,,1.639,1.532,6.6705,6.6185,6.258,,0.7954,0.6118,146.43,1.8795,687.9,26.15,25.8,2.7065,17.03
1990-01-23,1.178,,,1.649,1.508,6.5755,6.558,6.2055,,0.7751,0.6052,146.09,1.882,688.4,,25.8,2.7045,17
1990-01-24,1.1855,,,1.655,1.4965,6.5275,6.525,6.165,,0.7622,0.5915,145.32,1.876,687.9,26.16,25.76,2.7055,16.98
1990-01-25,1.1905,,,1.6572,1.488,6.5335,6.5375,6.17,,0.7583,0.5945,144.42,1.8775,687.8,26.151,25.75,2.7045,16.99
1990-01-26,1.1939,,,1.657,1.498,6.555,6.54,6.18,,0.7605,0.5928,143.35,1.872,,,,2.7045,16.97
1990-01-29,1.1885,,,1.678,1.486,6.4875,6.4925,6.14,,0.7635,0.595,143.13,1.869,687.7,,25.69,2.704,16.97
1990-01-30,1.1906,,,1.6818,1.491,6.5075,6.505,6.145,,0.766,0.597,144.1,1.8615,688.3,,25.69,2.699,16.96
1990-01-31,1.1858,,,1.6794,1.504,6.5315,6.513,6.16,,0.7685,0.602,144.55,1.864,689,26.132,25.73,2.699,16.97
1990-02-01,1.1864,,,1.6815,1.4982,6.505,6.495,6.11,,0.7702,0.5983,144.9,1.865,689.5,26.0575,25.72,2.6975,16.96
1990-02-02,1.1887,,,1.6817,1.497,6.524,6.508,6.15,,0.7735,0.6003,145.38,1.8675,690.1,26.08,25.72,2.699,16.96
1990-02-05,1.1899,,,1.695,1.4802,6.46,6.458,6.116,,0.7655,0.5998,145.39,1.866,690.8,26.105,25.74,2.7,16.95
1990-02-06,1.1879,,,1.702,1.4769,6.455,6.445,6.08,,0.7665,0.601,145.13,1.857,690.7,26.0825,25.71,2.701,16.95
1990-02-07,1.1935,,,1.699,1.4815,6.4125,6.43,6.06,,0.7575,0.5936,145.47,1.8595,690.5,26.0875,25.71,2.706,16.95
1990-02-08,1.1971,,,1.687,1.4948,6.4675,6.473,6.125,,0.7545,0.5915,145.4,1.863,691,26.119,25.73,2.706,16.96
1990-02-09,1.1956,,,1.6925,1.497,6.479,6.4715,6.1385,,0.7493,0.593,145.2,1.8645,691.8,26.1301,25.73,2.7055,16.96
1990-02-12,1.2024,,,1.695,1.4958,6.4545,6.4495,6.123,,0.7521,0.5926,144.2,1.8635,691.7,26.12,25.71,2.7055,16.99
1990-02-13,1.1999,,,1.6905,1.497,6.48,6.47,6.14,,0.7521,0.5925,144.4,1.866,691.6,26.121,25.72,2.7055,16.98
1990-02-14,1.2068,,,1.696,1.4923,6.465,6.47,6.13,,0.7457,0.5815,144.27,1.8635,692.4,26.121,25.71,2.705,16.97
1990-02-15,1.206,,,1.693,1.4955,6.4935,6.4865,6.14,,0.75,0.585,144.4,1.865,692.3,26.111,25.72,2.7005,16.97
1990-02-16,1.199,,,1.6955,1.4935,6.482,6.4805,6.142,,0.7567,0.5883,144.15,1.869,692.8,26.1175,25.73,2.7055,16.96
1990-02-19,,,,,,,,,,,,,,,,,,
1990-02-20,1.202,,,1.704,1.485,6.4675,6.479,6.285,,0.7595,0.5898,145.45,1.86,693.1,26.1275,25.7,2.702,17
1990-02-21,1.2013,,,1.715,1.4747,6.4365,6.454,6.102,,0.7586,0.5887,145.32,1.861,693.1,26.1425,25.72,2.702,17.03
1990-02-22,1.1945,,,1.7147,1.4725,6.438,6.4525,6.0935,,0.7646,0.5897,145.89,1.864,693.5,,25.72,2.7025,17
1990-02-23,1.197,,,1.71,1.477,6.46,6.47,6.089,,0.7652,0.5902,146.92,1.866,694.3,26.135,25.73,2.704,17.02
1990-02-26,1.198,,,1.693,1.487,6.495,6.515,6.1125,,0.765,0.5882,148.85,1.865,695.1,26.153,25.78,2.7045,17.05
1990-02-27,1.1948,,,1.692,1.4833,6.49,6.5075,6.1115,,0.7605,0.5877,148.63,1.8655,696,26.153,25.8,2.704,17.07
1990-02-28,1.1923,,,1.6892,1.4915,6.52,6.529,6.1265,,0.7601,0.588,148.82,1.867,696.7,26.1515,25.82,2.704,17.07
1990-03-01,1.1902,,,1.665,1.506,6.593,6.585,6.175,,0.7635,0.5872,149.67,1.875,,26.1545,25.85,2.707,17.07
1990-03-02,1.194,,,1.651,1.5135,6.6,6.605,6.185,,0.7596,0.5884,150.28,1.875,696.7,,25.87,2.707,17.08
1990-03-05,1.1906,,,1.6388,1.5,6.5475,6.5775,6.1575,,0.7585,0.5878,149.78,1.8725,695.9,26.155,25.87,2.708,17.05
1990-03-06,1.187,,,1.649,1.4995,6.542,6.575,6.155,,0.7611,0.5891,149.8,1.873,697.4,26.1605,25.82,2.707,17.07
1990-03-07,1.1851,,,1.639,1.5067,6.555,6.5825,6.188,,0.7596,0.5889,151.22,1.8745,698.3,26.17,25.86,2.71,17.05
1990-03-08,1.1795,,,1.6425,1.5093,6.53,6.5725,6.17,,0.7607,0.5879,150.83,1.874,699.6,26.25,25.85,2.7065,17.06
1990-03-09,1.1793,,,1.6181,1.5123,6.542,6.601,6.175,,0.7607,0.5907,151.34,1.8725,700.8,26.45,25.88,2.705,17.1
1990-03-12,1.179,,,1.6103,1.5239,6.56,6.62,6.195,,0.758,0.5892,152.38,1.874,701.1,26.361,25.88,2.708,17.09
1990-03-13,1.1778,,,1.6003,1.528,6.585,6.65,6.21,,0.761,0.5863,152.55,1.8775,701.4,26.3985,25.93,2.713,17.1
1990-03-14,1.1745,,,1.609,1.527,6.575,6.623,6.196,,0.7635,0.5874,152.24,1.875,701.3,26.395,25.91,2.712,17.09
1990-03-15,1.178,,,1.6175,1.522,6.534,6.5975,6.1725,,0.7563,0.5898,152.55,1.875,700.9,26.43,25.92,2.7165,17.07
1990-03-16,1.1803,,,1.6235,1.5095,6.506,6.572,6.145,,0.7536,0.588,152.38,1.874,699.9,26.5,25.9,2.7175,17.08
1990-03-19,1.1837,,,1.6103,1.5087,6.46,6.5575,6.13,,0.7549,0.5855,153.5,1.874,699,26.48,25.91,2.713,17.11
1990-03-20,1.1793,,,1.6105,1.5167,6.5055,6.594,6.15,,0.7565,0.5832,153.88,1.8745,699.7,26.455,25.91,2.722,17.09
1990-03-21,1.1768,,,1.5945,1.521,6.541,6.625,6.1775,,0.752,0.5793,154.16,1.8795,700.1,26.42,25.91,2.7265,17.13
1990-03-22,1.1767,,,1.601,1.515,6.5235,6.6135,6.174,,0.7504,0.581,155.1,1.882,700.5,26.4125,26,2.731,17.16
1990-03-23,1.175,,,1.604,1.5185,6.538,6.62,6.17,,0.7474,0.5785,153.9,1.8805,700.9,26.405,25.99,2.723,17.16
1990-03-26,1.1759,,,1.618,1.5265,6.5395,6.619,6.1785,,0.7469,0.5805,156.5,1.8835,702.2,26.405,25.99,2.728,17.22
1990-03-27,1.176,,,1.6261,1.518,6.526,6.612,6.17,,0.7452,0.5808,157.4,1.884,703.8,26.4,26.03,2.727,17.21
1990-03-28,1.1762,,,1.6275,1.516,6.5225,6.605,6.172,,0.7471,0.5767,158.75,1.8875,704.1,26.4075,26.06,2.729,17.18
1990-03-29,1.1743,,,1.634,1.498,6.4875,6.585,6.1425,,0.7523,0.5783,156.75,1.8865,703.1,,26.02,2.728,17.17
1990-03-30,1.1705,,,1.648,1.4975,6.4545,6.5455,6.114,,0.7548,0.579,157.82,1.8855,703.7,26.414,26,2.728,17.22
1990-04-02,1.1695,,,1.6315,1.5075,6.5155,6.602,6.157,,0.7561,0.5778,158.9,1.886,704.9,26.411,26.07,2.733,17.23
1990-04-03,1.1662,,,1.6355,1.5027,6.5,6.585,6.14,,0.7605,0.577,159.13,1.8845,706.6,,26.05,2.7325,17.24
1990-04-04,1.1673,,,1.6415,1.5065,6.5075,6.575,6.146,,0.7669,0.579,158.6,1.88,708.4,26.41,26.05,2.731,17.23
1990-04-05,1.1686,,,1.6415,1.501,6.499,6.58,6.145,,0.765,0.5782,157.68,1.878,708.4,,26.02,2.7295,17.24
1990-04-06,1.1655,,,1.6385,1.5013,6.4745,6.563,6.1345,,0.765,0.578,157.65,1.8755,709,26.39,26.02,2.7305,17.24
1990-04-09,1.1617,,,1.6385,1.4962,6.4625,6.5545,6.128,,0.763,0.5784,157.5,1.877,709.4,,25.99,2.729,17.24
1990-04-10,1.1615,,,1.6343,1.4963,6.4575,6.56,6.118,,0.7643,0.5783,158.58,1.88,709.7,26.28,26.03,2.732,17.28
1990-04-11,1.1652,,,1.6425,1.484,6.3905,6.517,6.0915,,0.7663,0.5792,158.28,1.8775,709.8,26.33,26.03,2.73,17.25
1990-04-12,1.1631,,,1.642,1.4828,6.385,6.515,6.105,,0.7663,0.5796,158.19,1.877,709,26.37,26.03,2.73,17.25
1990-04-13,1.165,,,1.6385,1.485,6.385,6.525,6.1,,0.765,0.5795,158.75,1.877,709.2,26.3275,,2.73,17.25
1990-04-16,1.167,,,1.631,1.4903,6.41,6.5325,6.108,,0.7654,0.5796,159.37,1.877,709.3,26.366,26.03,2.7345,17.25
1990-04-17,1.1683,,,1.6338,1.4905,6.396,6.529,6.103,,0.7653,0.5777,159.9,1.879,709.7,26.375,26.05,2.7335,17.33
1990-04-18,1.1623,,,1.638,1.484,6.382,6.52,6.085,,0.77,0.5788,159.1,1.8795,709.9,26.3715,26.05,2.73,17.3
